"Track URI,""Track Name"",""Artist URI(s)"",""Artist Name(s)"",""Album URI"",""Album Name"",""Album Artist URI(s)"",""Album Artist Name(s)"",""Album Release Date"",""Album Image URL"",""Disc Number"",""Track Number"",""Track Duration (ms)"",""Track Preview URL"",""Explicit"",""Popularity"",""Added By"",""Added At"""
"spotify:track:0GjEhVFGZW8afUYGChu3Rr,""Dancing Queen"",""spotify:artist:0LcJLqbBmaGUft1e9Mm8HV"",""ABBA"",""spotify:album:1V6a99EbTTIegOhWoPxYI9"",""Arrival"",""spotify:artist:0LcJLqbBmaGUft1e9Mm8HV"",""ABBA"",""1976"",""https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0"",""1"",""2"",""230400"","""",""false"",""80"",""spotify:user:1111631356"",""2021-04-23T08:37:52Z"""
"spotify:track:3FCto7hnn1shUyZL42YgfO,""Piano Man"",""spotify:artist:6zFYqv1mOsgBRQbae3JJ9e"",""Billy Joel"",""spotify:album:7r36rel1M4gyBavfcJP6Yz"",""The Essential Billy Joel"",""spotify:artist:6zFYqv1mOsgBRQbae3JJ9e"",""Billy Joel"",""2001-10-02"",""https://i.scdn.co/image/ab67616d0000b273649d4f282653ab8be56f447e"",""1"",""1"",""336093"",""https://p.scdn.co/mp3-preview/54682172a43fb85c11b29f807f9ced0dcd3b9dc0?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""67"",""spotify:user:1111631356"",""2021-04-23T08:38:01Z"""
"spotify:track:3ypMsqUwfNFMiooMLVHfkp,""YMCA"",""spotify:artist:0dCKce6tJJdHvlWnDMwzPW"",""Village People"",""spotify:album:4oIOg6AgN5cTIQPk00RAWS"",""Can't Stop the Music (Original Soundtrack 1980)"",""spotify:artist:0dCKce6tJJdHvlWnDMwzPW"",""Village People"",""1980"",""https://i.scdn.co/image/ab67616d0000b2732f38aff220050371b43eb57e"",""1"",""8"",""202573"",""https://p.scdn.co/mp3-preview/7360fdb535ea40bc06837af923934fde3110c253?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""63"",""spotify:user:1111631356"",""2021-04-23T08:38:30Z"""
"spotify:track:4lBkLeU6LNgWzfbWPGm1c9,""Leef"",""spotify:artist:5l2Xy4aUoJDRSpsYHyOumD"",""André Hazes Jr."",""spotify:album:6lTrzzgpV4zOaEhtYgclKm"",""Leef"",""spotify:artist:5l2Xy4aUoJDRSpsYHyOumD"",""André Hazes Jr."",""2016-03-11"",""https://i.scdn.co/image/ab67616d0000b27386e8f4b35c969ac3f10e1e13"",""1"",""1"",""217902"",""https://p.scdn.co/mp3-preview/42b3cc22d392695811c512e0bd3449ea11e7af82?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""58"",""spotify:user:1111631356"",""2021-04-23T08:38:37Z"""
"spotify:track:7uclWD74V3aroF4Lj94UPi,""Vrouwkes"",""spotify:artist:2DbTbUZFWbi3U3QzgJqU0V"",""Snollebollekes"",""spotify:album:0HdncUxKxib6atQtMDJ860"",""… En Door (Bonus Editie)"",""spotify:artist:2DbTbUZFWbi3U3QzgJqU0V"",""Snollebollekes"",""2019-03-15"",""https://i.scdn.co/image/ab67616d0000b273db5d1a939d80f62fe54ffe9c"",""1"",""1"",""168226"",""https://p.scdn.co/mp3-preview/1e133cc765018333d044190b2b73e254db606893?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""39"",""spotify:user:1111631356"",""2021-04-23T08:38:44Z"""
"spotify:track:7D5vAulNfrQV6xEwzgH0OF,""Sterrenstof"",""spotify:artist:1u7uShzlA1tXJeox3jMFPq"",""De Jeugd Van Tegenwoordig"",""spotify:album:2xBEH6Yx2yaKVJNljOW2V4"",""De Lachende Derde"",""spotify:artist:1u7uShzlA1tXJeox3jMFPq"",""De Jeugd Van Tegenwoordig"",""2010-01-01"",""https://i.scdn.co/image/ab67616d0000b27393696f9522599af13abea2b5"",""1"",""3"",""220946"","""",""true"",""61"",""spotify:user:1111631356"",""2021-04-23T08:38:54Z"""
"spotify:track:7qiZfU4dY1lWllzX7mPBI3,""Shape of You"",""spotify:artist:6eUKZXaKkcviH0Ku9w2n3V"",""Ed Sheeran"",""spotify:album:3T4tUhGYeRNVUGevb0wThu"",""÷ (Deluxe)"",""spotify:artist:6eUKZXaKkcviH0Ku9w2n3V"",""Ed Sheeran"",""2017-03-03"",""https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96"",""1"",""4"",""233712"",""https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""86"",""spotify:user:1111631356"",""2021-04-23T08:39:05Z"""
"spotify:track:3guGGQ6PwEdxE8Y13fbnmx,""Mamase!"",""spotify:artist:1eZrOVQ8ady3sDTNdG9E4D"",""K3"",""spotify:album:6KdKeqVEwzEgb30gwlFChi"",""10.000 Luchtballonnen"",""spotify:artist:1eZrOVQ8ady3sDTNdG9E4D"",""K3"",""2015-12-18"",""https://i.scdn.co/image/ab67616d0000b27376ba806c4a94cad00e85d10c"",""2"",""12"",""227400"",""https://p.scdn.co/mp3-preview/08010b07c5c34cd0fca3103b29696efb28635f97?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""36"",""spotify:user:1111631356"",""2021-04-23T08:39:12Z"""
"spotify:track:2XU0oxnq2qxCpomAAuJY8K,""Dance Monkey"",""spotify:artist:2NjfBq1NflQcKSeiDooVjY"",""Tones And I"",""spotify:album:0UywfDKYlyiu1b38DRrzYD"",""Dance Monkey (Stripped Back) / Dance Monkey"",""spotify:artist:2NjfBq1NflQcKSeiDooVjY"",""Tones And I"",""2019-10-17"",""https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169"",""1"",""2"",""209438"",""https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""87"",""spotify:user:1111631356"",""2021-04-23T08:39:24Z"""
"spotify:track:4XJJKD1EUeP0BISVWbHINN,""Party In The U.S.A."",""spotify:artist:5YGY8feqx7naU7z4HrwZM6"",""Miley Cyrus"",""spotify:album:4BntV1LvCpzSNCPQfmaUjI"",""All The Jams"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2021-04-19"",""https://i.scdn.co/image/ab67616d0000b27377de88782d75bff8c37f9f51"",""1"",""25"",""202733"","""",""false"",""2"",""spotify:user:1111631356"",""2021-04-23T08:39:46Z"""
